iter	Passed	Remaining
0	145	145704
1	146	73099
2	147	48884
3	147	36772
4	148	29487
5	148	24627
6	149	21158
7	149	18557
8	150	16536
9	150	14914
10	151	13589
11	151	12488
12	152	11556
13	152	10756
14	153	10065
15	153	9457
16	154	8921
17	154	8444
18	155	8018
19	155	7634
20	156	7285
21	156	6970
22	157	6684
23	157	6418
24	158	6176
25	158	5953
26	159	5745
27	159	5553
28	160	5372
29	160	5204
30	161	5047
31	161	4899
32	162	4761
33	163	4632
34	163	4508
35	164	4393
36	164	4284
37	165	4181
38	165	4082
39	166	3987
40	166	3897
41	167	3813
42	167	3731
43	168	3653
44	168	3579
45	169	3508
46	169	3440
47	170	3375
48	170	3312
49	171	3252
50	171	3195
51	172	3139
52	172	3085
53	173	3035
54	173	2986
55	174	2938
56	174	2892
57	175	2848
58	175	2805
59	176	2762
60	176	2723
61	177	2684
62	177	2647
63	178	2610
64	179	2575
65	179	2540
66	179	2506
67	180	2470
68	180	2439
69	181	2408
70	181	2378
71	182	2349
72	182	2320
73	183	2293
74	183	2266
75	184	2240
76	184	2214
77	185	2189
78	185	2165
79	186	2141
80	186	2119
81	187	2096
82	187	2074
83	188	2053
84	188	2031
85	189	2011
86	189	1990
87	190	1971
88	190	1952
89	191	1933
90	191	1915
91	192	1897
92	192	1880
93	193	1863
94	193	1846
95	194	1829
96	194	1813
97	195	1798
98	195	1783
99	196	1768
100	196	1753
101	197	1736
102	197	1721
103	198	1707
104	198	1693
105	199	1679
106	199	1666
107	200	1653
108	200	1640
109	201	1628
110	201	1616
111	202	1605
112	202	1593
113	203	1581
114	203	1569
115	204	1557
116	204	1546
117	205	1535
118	205	1524
119	206	1513
120	206	1502
121	207	1492
122	207	1480
123	208	1470
124	208	1460
125	209	1450
126	209	1441
127	210	1430
128	210	1421
129	211	1412
130	211	1403
131	212	1394
132	212	1386
133	213	1377
134	213	1368
135	214	1360
136	214	1352
137	215	1343
138	215	1335
139	216	1328
140	216	1320
141	217	1313
142	217	1305
143	218	1298
144	218	1291
145	219	1283
146	219	1276
147	220	1269
148	221	1262
149	221	1256
150	222	1249
151	222	1242
152	223	1236
153	223	1229
154	224	1222
155	224	1216
156	225	1209
157	225	1203
158	226	1197
159	226	1191
160	227	1184
161	227	1178
162	228	1172
163	228	1166
164	229	1160
165	229	1154
166	230	1148
167	230	1143
168	231	1137
169	231	1132
170	232	1126
171	232	1121
172	233	1115
173	233	1110
174	234	1104
175	234	1099
176	235	1094
177	235	1089
178	236	1083
179	236	1078
180	237	1072
181	237	1067
182	238	1062
183	238	1057
184	239	1053
185	239	1048
186	240	1044
187	240	1039
188	241	1035
189	241	1030
190	242	1025
191	242	1021
192	243	1016
193	243	1012
194	244	1008
195	244	1003
196	245	999
197	245	995
198	246	991
199	246	987
200	247	983
201	247	978
202	248	974
203	248	970
204	249	966
205	249	962
206	250	958
207	250	954
208	251	950
209	251	946
210	252	943
211	252	939
212	253	935
213	253	932
214	254	928
215	254	924
216	255	921
217	255	917
218	256	913
219	256	910
220	257	906
221	257	903
222	258	900
223	258	896
224	259	893
225	259	890
226	260	887
227	260	883
228	261	880
229	261	877
230	262	873
231	262	870
232	263	867
233	263	864
234	264	861
235	265	857
236	265	854
237	265	851
238	266	848
239	266	845
240	267	842
241	267	839
242	268	836
243	268	833
244	269	830
245	269	827
246	270	824
247	270	821
248	271	818
249	271	815
250	272	812
251	272	810
252	273	807
253	273	804
254	274	801
255	274	798
256	275	796
257	275	793
258	276	790
259	276	787
260	277	785
261	277	782
262	278	780
263	278	777
264	279	775
265	280	772
266	280	770
267	280	767
268	281	764
269	281	762
270	282	759
271	282	757
272	283	754
273	283	752
274	284	749
275	284	747
276	285	744
277	285	742
278	286	740
279	287	738
280	287	735
281	288	733
282	288	731
283	289	729
284	289	727
285	290	724
286	290	722
287	291	720
288	291	717
289	292	715
290	292	713
291	293	711
292	293	708
293	294	706
294	294	704
295	295	702
296	295	700
297	296	698
298	296	695
299	297	693
300	297	691
301	298	689
302	298	687
303	299	685
304	299	683
305	300	681
306	300	679
307	301	677
308	302	675
309	302	673
310	303	671
311	303	669
312	304	667
313	304	665
314	305	663
315	305	661
316	306	659
317	306	657
318	307	655
319	307	654
320	308	652
321	308	650
322	309	648
323	310	646
324	310	644
325	311	643
326	311	641
327	312	639
328	312	637
329	313	635
330	313	633
331	314	631
332	314	630
333	315	628
334	316	627
335	316	625
336	317	624
337	317	622
338	318	620
339	318	619
340	319	617
341	320	615
342	320	614
343	321	612
344	321	610
345	322	608
346	322	607
347	323	605
348	323	603
349	324	601
350	324	600
351	325	598
352	325	596
353	326	595
354	326	593
355	327	591
356	327	590
357	328	588
358	328	586
359	329	585
360	329	583
361	330	581
362	330	580
363	331	578
364	331	576
365	332	575
366	332	573
367	333	572
368	333	570
369	334	568
370	334	567
371	335	565
372	335	564
373	336	562
374	336	561
375	337	559
376	337	558
377	338	556
378	338	554
379	339	553
380	339	551
381	340	550
382	340	548
383	341	547
384	341	545
385	342	544
386	342	542
387	343	541
388	343	539
389	344	538
390	344	536
391	345	535
392	345	534
393	346	532
394	346	531
395	347	529
396	347	528
397	348	526
398	348	525
399	349	524
400	349	522
401	350	521
402	350	519
403	351	518
404	351	516
405	352	515
406	352	514
407	353	512
408	354	511
409	354	510
410	355	508
411	355	507
412	356	506
413	356	504
414	357	503
415	357	502
416	358	500
417	358	499
418	359	498
419	359	496
420	360	495
421	360	494
422	361	492
423	361	491
424	362	490
425	362	488
426	363	487
427	363	486
428	364	484
429	364	483
430	365	482
431	365	481
432	366	479
433	366	478
434	367	477
435	367	475
436	368	474
437	368	473
438	369	472
439	369	470
440	370	469
441	370	468
442	371	467
443	372	465
444	372	464
445	373	463
446	373	462
447	374	461
448	374	459
449	375	458
450	375	457
451	376	456
452	376	454
453	377	453
454	377	452
455	378	451
456	378	450
457	379	448
458	379	447
459	380	446
460	380	445
461	381	444
462	381	442
463	382	441
464	382	440
465	383	439
466	383	438
467	384	437
468	384	435
469	385	434
470	386	433
471	386	432
472	387	431
473	387	430
474	388	429
475	388	428
476	389	426
477	389	425
478	390	424
479	390	423
480	391	422
481	391	421
482	392	420
483	392	418
484	393	417
485	393	416
486	394	415
487	395	414
488	395	413
489	396	412
490	396	411
491	397	410
492	397	409
493	398	408
494	398	407
495	399	405
496	400	404
497	400	403
498	401	402
499	401	401
500	402	400
501	402	399
502	403	398
503	403	397
504	404	396
505	404	395
506	405	394
507	405	392
508	406	391
509	406	390
510	407	389
511	407	388
512	408	387
513	408	386
514	409	385
515	409	384
516	410	383
517	410	382
518	411	381
519	411	380
520	412	379
521	412	378
522	413	377
523	414	376
524	414	375
525	415	374
526	415	373
527	416	372
528	416	371
529	417	370
530	417	369
531	418	368
532	418	367
533	419	365
534	419	364
535	420	363
536	420	362
537	421	361
538	421	360
539	422	359
540	423	358
541	423	357
542	424	356
543	424	355
544	425	354
545	425	353
546	426	352
547	426	351
548	427	350
549	427	349
550	428	349
551	428	348
552	429	347
553	429	346
554	430	345
555	431	344
556	431	343
