iter	Passed	Remaining
0	140	140852
1	141	70798
2	142	47399
3	143	35662
4	143	28627
5	144	23932
6	145	20587
7	145	18081
8	146	16129
9	147	14566
10	147	13285
11	148	12232
12	149	11325
13	149	10549
14	150	9882
15	151	9298
16	151	8778
17	152	8316
18	153	7902
19	153	7533
20	154	7207
21	155	6902
22	155	6620
23	156	6365
24	157	6136
25	157	5918
26	158	5714
27	159	5527
28	159	5352
29	160	5194
30	161	5041
31	161	4897
32	162	4764
33	163	4638
34	163	4518
35	164	4408
36	165	4300
37	165	4200
38	166	4107
39	167	4015
40	167	3926
41	168	3843
42	169	3767
43	169	3692
44	170	3620
45	171	3551
46	171	3485
47	172	3423
48	173	3364
49	173	3305
50	174	3248
51	175	3196
52	176	3145
53	176	3094
54	177	3047
55	178	3002
56	178	2956
57	179	2912
58	179	2869
59	180	2829
60	181	2790
61	181	2751
62	182	2717
63	183	2683
64	184	2651
65	184	2616
66	185	2583
67	186	2552
68	186	2521
69	187	2492
70	188	2463
71	188	2434
72	189	2405
73	190	2378
74	190	2351
75	191	2325
76	191	2300
77	192	2275
78	193	2251
79	193	2228
80	194	2206
81	195	2183
82	195	2158
83	195	2136
84	196	2117
85	197	2097
86	197	2077
87	198	2057
88	199	2039
89	200	2025
90	200	2007
91	201	1990
92	202	1972
93	203	1957
94	203	1941
95	204	1924
96	204	1907
97	205	1892
98	206	1877
99	207	1863
100	207	1847
101	208	1832
102	208	1818
103	209	1803
104	209	1789
105	210	1775
106	211	1762
107	211	1749
108	212	1737
109	213	1725
110	213	1712
111	214	1700
112	215	1688
113	215	1677
114	216	1666
115	217	1655
116	217	1643
117	218	1633
118	219	1623
119	219	1612
120	220	1602
121	221	1591
122	222	1583
123	222	1573
124	223	1563
125	224	1554
126	224	1544
127	225	1536
128	226	1528
129	227	1519
130	227	1510
131	228	1502
132	229	1493
133	229	1485
134	230	1477
135	231	1470
136	232	1461
137	232	1453
138	233	1445
139	233	1436
140	234	1428
141	234	1419
142	235	1412
143	236	1404
144	237	1397
145	237	1390
146	238	1383
147	239	1376
148	239	1369
149	240	1362
150	241	1355
151	241	1348
152	242	1341
153	242	1334
154	243	1328
155	244	1322
156	245	1316
157	245	1309
158	246	1303
159	247	1298
160	247	1291
161	248	1284
162	248	1278
163	249	1272
164	250	1267
165	251	1261
166	251	1255
167	252	1250
168	253	1245
169	254	1240
170	254	1234
171	255	1229
172	256	1224
173	256	1219
174	257	1214
175	258	1209
176	259	1204
177	259	1199
178	260	1194
179	261	1189
180	261	1185
181	262	1180
182	263	1176
183	264	1170
184	264	1166
185	265	1161
186	266	1156
187	266	1151
188	267	1147
189	267	1142
190	268	1137
191	269	1133
192	270	1129
193	270	1124
194	271	1120
195	272	1116
196	272	1112
197	273	1107
198	274	1103
199	274	1099
200	275	1095
201	276	1091
202	276	1087
203	277	1083
204	278	1080
205	279	1076
206	279	1072
207	280	1068
208	281	1065
209	282	1061
210	282	1057
211	283	1053
212	284	1049
213	284	1046
214	285	1042
215	286	1038
216	286	1034
217	287	1031
218	288	1027
219	288	1024
220	289	1020
221	290	1017
222	291	1014
223	292	1011
224	292	1008
225	293	1005
226	294	1001
227	294	998
228	295	995
229	296	992
230	297	989
231	298	986
232	298	983
233	299	980
234	300	977
235	300	974
236	301	970
237	302	967
238	302	964
239	303	961
240	304	958
241	304	955
242	305	952
243	306	949
244	307	946
245	307	942
246	308	939
247	308	936
248	309	933
249	310	930
250	310	927
251	311	924
252	312	921
253	312	918
254	313	916
255	314	913
256	314	910
257	315	907
258	316	904
259	316	901
260	317	898
261	317	895
262	318	892
263	319	890
264	319	887
265	320	884
266	321	881
267	321	878
268	322	876
269	323	873
270	323	870
271	324	867
272	324	865
273	325	862
274	326	859
275	326	857
276	327	854
277	327	851
278	328	849
279	329	846
280	329	844
281	330	841
282	331	839
283	331	836
284	332	834
285	333	832
286	333	829
287	334	827
288	335	825
289	335	822
290	336	820
291	337	818
292	338	816
293	338	813
294	339	811
295	340	809
296	340	806
297	341	804
298	342	801
299	342	799
300	343	797
301	343	795
302	344	792
303	345	790
304	345	788
305	346	786
306	347	783
307	347	781
308	348	779
309	349	777
310	349	775
311	350	773
312	351	771
313	352	769
314	352	766
315	353	765
316	354	762
317	354	760
318	355	758
319	355	756
320	356	754
321	357	752
322	357	750
323	358	748
324	359	746
325	360	744
326	360	742
327	361	740
328	362	738
329	363	737
330	363	735
331	364	733
332	365	731
333	365	729
334	366	727
335	367	725
336	367	723
337	368	721
338	368	719
339	369	717
340	370	715
341	371	713
342	371	711
343	372	710
344	373	708
345	373	706
346	374	704
347	375	703
348	375	701
349	376	699
350	377	697
351	377	695
352	378	693
353	378	691
354	379	689
355	380	687
356	380	685
357	381	683
358	381	681
359	382	679
360	383	678
361	383	676
362	384	674
363	385	672
364	385	671
365	386	669
366	387	667
367	387	665
368	388	664
369	389	662
370	389	660
371	390	659
372	391	657
373	391	655
374	392	654
375	393	652
376	393	650
377	394	648
378	395	647
379	395	645
380	396	643
381	396	641
382	397	640
383	398	638
384	398	636
385	399	635
386	400	633
387	400	631
388	401	630
389	401	628
390	402	626
391	403	625
392	403	623
393	404	622
394	405	620
395	405	618
396	406	617
397	406	615
398	407	613
399	408	612
400	408	610
401	409	608
402	409	607
403	410	605
404	411	604
405	411	602
406	412	600
407	413	599
408	413	598
409	414	596
410	415	594
411	415	593
412	416	591
413	417	590
414	417	588
415	418	587
416	418	585
417	419	584
418	420	582
419	420	581
420	421	579
421	422	578
422	422	576
423	423	575
424	423	573
425	424	571
426	425	570
427	425	569
428	426	567
429	427	566
430	427	564
431	428	563
432	428	561
433	429	560
434	430	558
435	430	557
436	431	555
437	432	554
438	432	553
439	433	551
440	433	550
441	434	548
442	435	547
443	435	545
444	436	544
445	436	542
446	437	541
447	438	539
448	439	538
449	439	537
450	440	536
451	441	534
452	441	533
453	442	531
454	442	530
455	443	529
456	444	527
457	444	526
458	445	525
459	446	523
460	446	522
461	447	520
462	447	519
463	448	518
464	449	516
465	449	515
466	450	514
467	451	512
468	451	511
469	452	510
470	453	508
471	453	507
472	454	506
473	455	504
474	455	503
475	456	502
476	456	500
477	457	499
478	458	498
479	458	497
480	459	495
481	460	494
482	460	493
483	461	491
484	461	490
485	462	489
486	463	488
487	463	486
488	464	485
489	465	484
490	465	482
491	466	481
492	467	480
493	467	479
494	468	477
495	468	476
496	469	475
497	470	473
498	470	472
499	471	471
500	471	470
501	472	468
502	473	467
503	473	466
504	474	464
505	474	463
506	475	462
507	476	461
508	476	460
509	477	458
510	478	457
511	478	456
512	479	455
513	480	454
514	480	452
515	481	451
516	482	450
517	482	449
518	483	448
519	484	446
520	484	445
521	485	444
522	486	443
523	486	442
524	487	440
525	487	439
526	488	438
527	489	437
528	489	436
529	490	435
530	491	433
531	491	432
532	492	431
533	493	430
534	493	429
535	494	428
536	495	426
537	495	425
538	496	424
539	497	423
540	497	422
541	498	421
542	499	420
543	499	418
544	500	417
545	500	416
546	501	415
547	502	414
548	502	413
549	503	411
550	504	410
551	504	409
552	505	408
553	506	407
554	507	406
555	507	405
556	508	404
557	509	403
558	509	402
559	510	401
560	511	400
561	511	398
562	512	397
563	513	396
564	514	396
565	515	394
566	515	393
567	516	392
568	516	391
569	517	390
570	518	389
571	518	388
572	519	387
573	520	386
574	520	385
575	521	383
576	522	382
577	522	381
578	523	380
579	524	379
580	524	378
581	525	377
582	526	376
583	526	375
584	527	374
585	528	373
586	528	372
587	529	371
588	530	369
589	530	368
590	531	367
591	532	366
592	533	365
593	533	364
594	534	363
595	534	362
596	535	361
597	536	360
598	536	359
599	537	358
600	537	357
601	538	356
602	539	355
603	539	354
604	540	352
605	540	351
606	541	350
607	541	349
608	542	348
609	542	347
610	543	346
611	544	344
612	544	343
613	545	342
614	545	341
615	546	340
616	547	339
617	547	338
618	548	337
619	549	336
620	549	335
621	550	334
622	550	333
623	551	332
624	552	331
625	552	330
626	553	329
627	554	328
628	554	327
629	555	326
630	555	325
631	556	323
632	557	322
633	557	321
634	558	320
635	558	319
636	559	318
637	559	317
638	560	316
639	561	315
640	561	314
641	562	313
642	562	312
643	563	311
644	563	310
645	564	309
646	565	308
647	565	307
648	566	306
649	566	305
650	567	304
651	568	303
652	568	302
653	569	301
654	570	300
655	570	299
656	571	298
657	572	297
658	573	296
659	573	295
660	574	294
661	574	293
662	575	292
663	576	291
664	576	290
665	577	289
666	577	288
667	578	287
668	578	286
669	579	285
670	580	284
671	580	283
672	581	282
673	582	281
674	582	280
675	583	279
676	583	278
677	584	277
678	585	276
679	585	275
680	586	274
681	587	273
682	587	272
683	588	271
684	588	270
685	589	269
686	590	268
687	590	267
688	591	266
689	591	265
690	592	265
691	593	264
692	593	263
693	594	262
694	595	261
695	595	260
696	596	259
697	596	258
698	597	257
